"page_title","url","description","found_at_url","found_in_google_analytics","found_in_google_search_console","found_in_backlinks","found_in_list","found_in_log_summary","found_in_web_crawl","found_in_sitemap","topic_similarities"
"Cooperative Procurement & Contract Purchasing I Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing","Why use cooperative purchasing? Cooperative procurement saves time & money by combining buying power and managing the competitive solicitation.","https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":10,""topic_type"":""user"",""topic_name"":""The Power of Cooperative Purchasing"",""cosine_similarity"":0.699},{""slot_no"":6,""topic_type"":""user"",""topic_name"":""Purchasing Solutions for the Army, Navy, Air Force, and Army Reserves"",""cosine_similarity"":0.669},{""slot_no"":12,""topic_type"":""user"",""topic_name"":""Technology Procurement: Simplifying Access to IT, Software, and Digital Services"",""cosine_similarity"":0.636},{""slot_no"":8,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing for K–12 Schools and Higher Education Institutions"",""cosine_similarity"":0.588},{""slot_no"":11,""topic_type"":""user"",""topic_name"":""Contract Management Best Practices After Award"",""cosine_similarity"":0.581},{""slot_no"":17,""topic_type"":""user"",""topic_name"":""Leveraging Cooperative Contracts for Strategic Impact"",""cosine_similarity"":0.571},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.564},{""slot_no"":1,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing Solutions for Public Safety Agencies"",""cosine_similarity"":0.562},{""slot_no"":16,""topic_type"":""user"",""topic_name"":""Sustainability and Environmentally Responsible Purchasing Through Cooperative Contracts"",""cosine_similarity"":0.542},{""slot_no"":2,""topic_type"":""user"",""topic_name"":""Fleet Management and Vehicle Procurement Efficiencies"",""cosine_similarity"":0.495},{""slot_no"":7,""topic_type"":""user"",""topic_name"":""Supporting Local Governments with Scalable Procurement Solutions"",""cosine_similarity"":0.484},{""slot_no"":23,""topic_type"":""user"",""topic_name"":""Risk, Benefit, and Insurance (RBI) Strategies in Cooperative Purchasing"",""cosine_similarity"":0.474},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.474},{""slot_no"":15,""topic_type"":""user"",""topic_name"":""Construction Contracts and Facility Project Procurement"",""cosine_similarity"":0.446},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.415}]"
"Open, Pending, and Awarded RFP Solicitations for Public Procurement I Sourcewell","https://www.sourcewell-mn.gov/solicitations",,"https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":6,""topic_type"":""user"",""topic_name"":""Purchasing Solutions for the Army, Navy, Air Force, and Army Reserves"",""cosine_similarity"":0.542},{""slot_no"":11,""topic_type"":""user"",""topic_name"":""Contract Management Best Practices After Award"",""cosine_similarity"":0.536},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.5},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.445},{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.412},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.393}]"
"Understanding How Cooperative Purchasing Contracts Work I Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing/how-it-works","Sourcewell streamlines the procurement process for government agencies with hundreds of ready-to-use competitively solicited cooperative contracts.","https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":10,""topic_type"":""user"",""topic_name"":""The Power of Cooperative Purchasing"",""cosine_similarity"":0.718},{""slot_no"":6,""topic_type"":""user"",""topic_name"":""Purchasing Solutions for the Army, Navy, Air Force, and Army Reserves"",""cosine_similarity"":0.571},{""slot_no"":21,""topic_type"":""user"",""topic_name"":""Efficiency and Risk Reduction in Public Purchasing"",""cosine_similarity"":0.501},{""slot_no"":1,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing Solutions for Public Safety Agencies"",""cosine_similarity"":0.49},{""slot_no"":19,""topic_type"":""user"",""topic_name"":""Myths and Misconceptions About Cooperative Purchasing"",""cosine_similarity"":0.488},{""slot_no"":8,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing for K–12 Schools and Higher Education Institutions"",""cosine_similarity"":0.486},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.469},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.397}]"
"Terms and Conditions, Privacy Policy, and Accessibility | Sourcewell","https://www.sourcewell-mn.gov/privacy-policy","Prior to accessing the Sourcewell website, members should carefully read the Terms & Conditions of Use, Privacy Policy & statement of accessibility.","https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":17,""topic_type"":""user"",""topic_name"":""Leveraging Cooperative Contracts for Strategic Impact"",""cosine_similarity"":0.492},{""slot_no"":16,""topic_type"":""user"",""topic_name"":""Sustainability and Environmentally Responsible Purchasing Through Cooperative Contracts"",""cosine_similarity"":0.471},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.381}]"
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/explore-contracts",,,,,,true,false,"[{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.618},{""slot_no"":1,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing Solutions for Public Safety Agencies"",""cosine_similarity"":0.461},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.428},{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.427}]"
"Become a Sourcewell Participating Agency - Apply Online | Sourcewell","https://www.sourcewell-mn.gov/register","Sourcewell membership is free to government & education entities including cities, counties, states, tribes, schools, colleges, universities & nonprofits.","https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":16,""topic_type"":""user"",""topic_name"":""Sustainability and Environmentally Responsible Purchasing Through Cooperative Contracts"",""cosine_similarity"":0.548},{""slot_no"":1,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing Solutions for Public Safety Agencies"",""cosine_similarity"":0.529},{""slot_no"":6,""topic_type"":""user"",""topic_name"":""Purchasing Solutions for the Army, Navy, Air Force, and Army Reserves"",""cosine_similarity"":0.521},{""slot_no"":17,""topic_type"":""user"",""topic_name"":""Leveraging Cooperative Contracts for Strategic Impact"",""cosine_similarity"":0.49},{""slot_no"":8,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing for K–12 Schools and Higher Education Institutions"",""cosine_similarity"":0.489},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.448}]"
"Sourcewell | Cooperative Purchasing Advantages","https://www.sourcewell-mn.gov/","Sourcewell is a hub of solutions, empowering public agencies with cooperative contracts, expertise, and resources to meet evolving community needs.",,,,,,,true,false,"[{""slot_no"":8,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing for K–12 Schools and Higher Education Institutions"",""cosine_similarity"":0.464},{""slot_no"":1,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing Solutions for Public Safety Agencies"",""cosine_similarity"":0.428},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.401},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.359}]"
"Legal Authority & Compliance for Cooperative Purchasing I Sourcewell","https://www.sourcewell-mn.gov/compliance-legal","Authorized by Minnesota law as an Educational Cooperative Service Unit, Sourcewell serves education & government with cooperative purchasing & other services.","https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":10,""topic_type"":""user"",""topic_name"":""The Power of Cooperative Purchasing"",""cosine_similarity"":0.773},{""slot_no"":8,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing for K–12 Schools and Higher Education Institutions"",""cosine_similarity"":0.626},{""slot_no"":17,""topic_type"":""user"",""topic_name"":""Leveraging Cooperative Contracts for Strategic Impact"",""cosine_similarity"":0.615},{""slot_no"":16,""topic_type"":""user"",""topic_name"":""Sustainability and Environmentally Responsible Purchasing Through Cooperative Contracts"",""cosine_similarity"":0.573},{""slot_no"":7,""topic_type"":""user"",""topic_name"":""Supporting Local Governments with Scalable Procurement Solutions"",""cosine_similarity"":0.564},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.523},{""slot_no"":6,""topic_type"":""user"",""topic_name"":""Purchasing Solutions for the Army, Navy, Air Force, and Army Reserves"",""cosine_similarity"":0.522},{""slot_no"":11,""topic_type"":""user"",""topic_name"":""Contract Management Best Practices After Award"",""cosine_similarity"":0.516},{""slot_no"":23,""topic_type"":""user"",""topic_name"":""Risk, Benefit, and Insurance (RBI) Strategies in Cooperative Purchasing"",""cosine_similarity"":0.451},{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.442},{""slot_no"":3,""topic_type"":""user"",""topic_name"":""Supporting Military Installations Through Intergovernmental Support Agreements (IGSAs)"",""cosine_similarity"":0.387}]"
"Working with Sourcewell to Build Communities & Careers | Sourcewell","https://www.sourcewell-mn.gov/careers","Grow with us! Sourcewell’s rapid growth presents many opportunities for advancement—an exciting career track! Plus we offer great benefits. Join our team today!","https://www.sourcewell-mn.gov/",,,,,,true,false,
"About | Sourcewell","https://www.sourcewell-mn.gov/about","Sourcewell is a self-sustaining government organization and hub of solutions, partnering with public agencies to deliver contracts, insight, and support.","https://www.sourcewell-mn.gov/",,,,,,true,false,
